PHRASE,FULL_TEXT
shuttle service,Do you have airport shuttle
shuttle service,do u have an airport pickup
spa,do u have a spa
spa,spa timings
location,where is Gym
gym,where is Gym
gym,Gym?
gym,Gym timings
near by,grocery stores nearby
bar,near by bars
near by,near by bars
shopping,Any nearby shopping mall
shopping,Any nearby shopping mall
near by,Any nearby shopping mall
near by,nearby nightclubs
near by,nearby places to eat
near by,nearby starbucks
coffee shop,nearby starbucks
coffee shop,is there starbucks
attractions,Attractions near the hotel
near by,Attractions near the hotel
attractions,nearby attractions
near by,nearby attractions
restaurant,Nearby restaurants
attractions,Things to do
location,where is the vending machine
location,where is vending machine
location,where is vending machine ?
location,vending machine location
location,where is vending machine located ?
location,where is ice machine
ice machine,where is ice machine
ice machine,do you have ice machine?
location,where is the ice machine
ice machine,where is the ice machine
location,where is ice machine
ice machine,where is ice machine
location,where is ice machine ?
ice machine,where is ice machine ?
ice machine,where can I find ice machine
ice machine,ice machine
ice machine,ice machine?
ice machine,ice machine if any?
location,ice machine location
ice machine,ice machine location
location,where is ice machine located ?
ice machine,where is ice machine located ?
gift shop,Do you have gift shop
order food,Can i order food for delivery
housekeeping,I want housekeeping service
order food,I would like to order food
luggage storage,Do you have complimentary Luggage Storage
luggage storage,where can I store luggage
nanny service,Do you have nanny service?
laundry,Do you have laundry service in the hotel
laundry,laundry
dry cleaning,is there dry cleaning service
laundry,How much is laundry charge
coffee,Do you have morning coffee served in the lobby?
tour packages,do you have tour packages
pet policy,What is your pet policy
pet policy,pet policy
smoking,Is Smoking Allowed?
smoking,Smoking
smoking,Can I smoke
smoking,Do you have Smoking rooms?
drinking water,i need bottle of water
extra towels,I need extra towel
extra pillow,extra pillow
extra towels,extra towel
safety deposit box,digital safe
hair dryer,hair dryer
toothpaste,i need toothpaste
toothbrush,i need toothbrush
housekeeping,Need room cleaning
wakeup call,Wake up call
tv remote,TV Remote?
order food,Can i order food for delivery
iron board,Do you have iron board
rollaway bed,Do you have rollaway bed
location,Where is the tennis court?
crib,crib available?
microwave,microwave
hair dryer,ii need hair dryer
charging station,EV charging station
refrigerator,Does the room have mini refrigerator
air conditioning,Does the room have air conditioning
microwave,Is there microwave in the room
room upgrade,can i upgrade my room
alarm clock,is there alarm clock in room
atm,Do you have ATM?
safety deposit box,digital safe
charger,Do you have iPhone Charger
charger,charger
program,Can i book private events at your hotel?
phone,Do you have phone charger
charger,Do you have phone charger
phone,Do you have phone charger?
charger,Do you have phone charger?
charger,charger
charger,charger?
wifi,How to connect to your wifi
wifi,What is the WiFi password
wifi,Wi-Fi
wifi,wifi passcode?
wifi,free wifi?
wifi,how do i connect to wifi?
wifi,wifi login
rollaway bed,Do you have rollaway bed
rollaway bed,rollaway bed?
rollaway bed,rollaway bed
rollaway bed,can i get rollaway bed
shuttle service,Do you have shuttle service
shuttle service,shuttle service
shuttle service,shuttle service?
shuttle service,Is there shuttle service?
location,Where is the vending machine?
breakfast,When do you serve breakfast
hours of operation,Breakfast timing?
breakfast,Breakfast timing?
complimentary breakfast,Complimentary breakfast
hours of operation,what time is breakfast?
breakfast,what time is breakfast?
complimentary breakfast,is there free breakfast?
restaurant,Nearby Restaurants
restaurant,Nearby Restaurants?
near by,Restaurants nearby
restaurant,Restaurant
attractions,Nearby Attractions
near by,Nearby Attractions
attractions,Attractions
attractions,attractions nearby
near by,attractions nearby
attractions,Attractions?
extra towels,"I need extra towel, soap"
body wash,"I need extra towel, soap"
body wash,soap?
checkout time,Can I extend my checkout time
shopping,Any nearby shopping mall
shopping,Any nearby shopping mall
near by,Any nearby shopping mall
shopping,shopping malls?
shopping,shopping mall
shopping,shopping mall
smoking,Is Smoking Allowed?
smoking,can i smoke?
smoking,smoking policy?
smoking,non smoking policy?
housekeeping,Need room cleaning
housekeeping,room cleaning?
hours of operation,what time is checkout?
check out,what time is checkout?
checkin time,checkin time?
check-in,checkin
check-in,check in
checkout time,checkout time
checkout time,checkout time?
check out,check out
hours of operation,what time is check out
check out,what time is check out
discount,breakfast discount?
breakfast,breakfast discount?
discount,do you offer breakfast discount?
breakfast,do you offer breakfast discount?
hours of operation,Breakfast hours
breakfast,Breakfast hours
breakfast time,Breakfast time?
cable,Cable
cable,Cable tv
cable,Cable tv please. Thanks
check-in,can another person check in for me
check-in,Can I check in early like 1:30 or 2pm
check out,Can I come during lunch to check out ? Or does it automatically check me out
safety deposit box,Can I get a refund Even though I didn't get the refund package? I don't feel safe
wakeup call,Can I get a wake up call?
conditioner,Can I get an ice bucket extra soaps shampoo conditioner
shampoo,Can I get an ice bucket extra soaps shampoo conditioner
late checkout,Can I have late check out
shuttle service,Can i use the shuttle today
housekeeping,Can we get house keeping to clean and bring us new towels
channel lineup,Channel lineup
coffee,Coffee available in the lobby
late checkout,Do you offer late check out?
drinking water,Drinking water?
order food,Food delivery
luggage storage,"For connecting flight over 12 hours, I hope we can still recheck luggage"
hours of operation,"For connecting flight over 12 hours, I hope we can still recheck luggage"
wifi,Freda Mattingly TheThe Internet is asking for a password could you tell me what it is we are in room 127 John
wifi,Freda Mattingly TheThe Internet is asking for a password could you tell me what it is we are in room 127 John
refrigerator,fridge microwave
microwave,fridge microwave
check out,"Got in late, what is the latest checkout you can do"
pool,Heated pool
hours of operation,"Hello, what are your hours today"
check out,How do I check out ?
housekeeping,Housekeeping service
toilet paper,I have a clogged sink in need toilet paper Kleenex plz
checkout time,I need a 12pm check out time please
hair dryer,I need a new hair dryer!
shampoo,I need shampoo
check out,I want to check out
parking,I work nights I will be getting back here around 4 or 5 am sometimes around 3 am.. will there be parking?
ice machine,Is an ice machine available
hours of operation,Is check in 24 hours
check-in,Is check in 24 hours
wifi,Is there a WiFi address password I can log into
wifi,Is there a WiFi address password I can log into
location,Is there a WiFi address password I can log into
drinking water,Is there anywhere to get bottled water close?
hours of operation,Is there anywhere to get bottled water close?
breakfast time,Know what time breakfast actually starts
hours of operation,Know what time breakfast actually starts
late checkout,May we have a late check out tomorrow
plunger,Need a plunger
restaurant,Need nearby restaurant suggestions for dinner
near by,Need nearby restaurant suggestions for dinner
toilet paper,Need toilet paper
pool,Open pool
hours of operation,Open pool
microwave,Please is there a microwave available for use near the front desk?
near by,Please is there a microwave available for use near the front desk?
room service,Room service
shuttle service,Shuttle pickup service
shuttle service,Shuttle pickup service
near by,"Shuttle service to nearby hotels, we are here for a conference don't like driving while on vacation."
shuttle service,"Shuttle service to nearby hotels, we are here for a conference don't like driving while on vacation."
shuttle service,Shuttle services to DFW airport
shuttle service,Shuttle to the game today
near by,Store near by.
hours of operation,Time of checkout?
check out,Time of checkout?
hours of operation,What time does the first shuttle pick up at the end of game?
shuttle service,What time does the first shuttle pick up at the end of game?
checkout time,When is check out time
location,Where is ice machine
ice machine,Where is ice machine
location,Where is my roll away
location,Where is the gym
gym,Where is the gym
location,Where is the ice machine?? the one up stairs dosent work in the middle
ice machine,Where is the ice machine?? the one up stairs dosent work in the middle
late checkout,Can i have a late checkout due to the issue with getting key to work in the room?
phone,There is no phone in my room
crib,is there charge for the crib
check-in,check-in
check out,Checkout at 11am right
microwave,microwave
coffee,in room coffee
smoking,can I smoke
discount,is there discount for booking multiple rooms
discount,can I get discount for staying for a long period
extend stay,extended stay discount
discount,extended stay discount
phone,can I checkout on phone
check out,can I checkout on phone
check out,how do I checkout
charger,laptop charger
near by,recommendation for food nearby
tour packages,do u offer any tours
wifi,how do I connect to the internet
breakfast,where do u serve breakfast
check out,early checkout
check-in,expres checkin
check out,when can I checkout?
breakfast,what do u serve in breakfast
breakfast,do I need to pay extra for breakfast
location,where is starbucks
coffee shop,where is starbucks
shopping,where is the shopping mall
shopping,where is the shopping mall
location,where is the shopping mall
drinking water,bottled water
drinking water,can I get bottled water
drinking water,can I get bottle of water
near by,is there ATM near the hotel
atm,is there ATM near the hotel
tv remote,TV Remote
tv remote,where is TV remote
location,where is TV remote
safety deposit box,in room safe
iron board,iron
coffee,May I have extra coffee
check out,How do I check out
room service,room service
toilet paper,Hello exchange some towels get more toilet paper please
extend stay,Extending stay
wifi,What amenities have WiFi password needed checkout time
amenities,What amenities have WiFi password needed checkout time
checkout time,What amenities have WiFi password needed checkout time
drinking water,Is there anywhere to get bottled water close?
hours of operation,Is there anywhere to get bottled water close?
wifi,Is there a password for Wifi
wifi,Is there a password for Wifi
wifi,what is the wifi
breakfast,Breakfast in the morning?
drinking water,Is there anywhere to get bottled water?
blankets,Can I get Blanket for my bed
coffee,Coffee
breakfast time,Breakfast time
amenities,Amenities please
check out,How do I checkout
wifi,What's Wifi password
amenities,What are your Amenities
extra towels,I can use an extra towel if possible
wifi,How access the wifi
pool,Is there a pool in ur motel ?
late checkout,Can I have a late check out?
pool,Pool hours
hours of operation,Pool hours
hours of operation,What time serve breakfast
breakfast,What time serve breakfast
attractions,Things to do
check out,When is checkout
wifi,Password
checkout time,When is my checkout time
gym,Gym timings
extend stay,Extending stay
breakfast,what are the times for breakfast
gym,good morning. Is there a gym here?
hours of operation,what are lobby hours?
breakfast,continental breakfast
breakfast time,what time breakfast start?
hours of operation,what time breakfast start?
complimentary breakfast,Does this hotel have a complimentary breakfast
coffee,Is there complimentary coffee in the lobby?
location,where is the ice machine located
ice machine,where is the ice machine located
pet policy,Service dog policy
checkout time,what time is checkout time
hours of operation,what time is checkout time
wifi,Password of wifi pls
wifi,Password of wifi pls
location,where is breakfast location
location,where is breakfast location
breakfast,where is breakfast location
order food,breakfast menu
discount,Multiple rooms booking discount
cancellation policy,What is the cancellation policy
cancellation policy,Is there cancelation charge
cancellation policy,Cancellation
discount,do you offer discount for group booking
lost and found,What is the lost and found policy
lost and found,i forgot my bag in the hotel. whom do i contact for lost and found
discount,is there additional discount for multi room booking
discount,i would liek to book 3 rooms. Can you offer me any discount
cancel reservation,i need to cancel my reservation
discount,Discount for staying long
discount,Can i get additional discount for staying for a longer duration
spa,Spa Discount
discount,Spa Discount
spa,Can i get additional discount for Spa
discount,Can i get additional discount for Spa
spa,Spa charges
bellman,Bellman
bellman,Bellman service
luggage storage,Can i get help with my luggage
dry cleaning,dry cleaning?
dry cleaning,what is the cost of dry cleaning
dry cleaning,do you have dry cleaning service?
dry cleaning,is dry cleaning complimentary?
crib,cribs charges?
crib,how much does crib cost?
crib,do you have cribs in your property?
dress code,is there a dress shop in your location?
location,is there a dress shop in your location?
dress code,where is the dress shop located?
location,where is the dress shop located?
program,do you have space for private events?
event room,how much do you charge for organizing party or private event in your property?
program,do you have membership and loyalty program?
rewards program,do you have membership and loyalty program?
program,can you provide information on membership and loyalty program?
rewards program,can you provide information on membership and loyalty program?
location,cross street information?
location,can you provide cross street info?
gift shop,is there any gift shop in your venue?
gift shop,where can i find gift shop in your property?
gift shop,do you have any gift shop in your hotel?
gift shop,gift shop?
pool,heated pool temperature?
air conditioning,room heating facility?
air conditioning,is there a heating facility available in your guestrooms?
safety deposit box,is there a safe in the guestrooms?
safety deposit box,what kind of safe box available in guestrooms?
safety deposit box,is there a safe box  available in guestrooms
refrigerator,is there a mini fridge available in guestrooms?
tea maker,is there a tea maker in the room?
tea maker,tea maker?
channel lineup,does the tv contain premium channels ?
discount,Advance booking discount
wifi,What is the WIFI
wifi,What's the WiFi password
wifi,What's your WiFi password
late checkout,Can you get late check out
charger,an extra iPhone charger
microwave,a microwave in the room
checkin time,Check in time frame
parking,Where would be parking
check-in,What's the earliest I can check in
check-in,Policy says check in is at 3pm but I might not be able to check in till around 3pm or 4pm. Is that okay
check-in,How late at night can I check in
ice machine,Gotta have an ice machine
check-in,What's the latest I can check in
pet policy,We need a dog room please?
location,What is the address of the motel
breakfast,serve breakfast
check-in,Can I check in earlier today
wifi,Wifi details
check-in,Late check in available
wifi,Wifi connection
phone,Contact the correct phone
near by,Near by food
breakfast,How long is breakfast served
check out,Can you check out before
gym,is there a gym
gym,Gym?
location,Gym location
gym,Gym location
location,where is the gym
gym,where is the gym
location,where is the fitness center
gym,where is the fitness center
gym,is the fitness center free
gym,gym timings
gym,fitness center timings
gym,what is the cost for fitness center
gym,what is the cost for gym
program,events agenda
program,what are the events this month
program,what are the events hosted this month
program,Is there a calendar of events
program,what are the events hosted in the resort
program,Do you have an events agenda for upcoming months
program,Can I access the events agenda
dry cleaning,Do u offer dry cleaning service  at the hotel
breakfast,Do u have breakfast at the hotel
restaurant,What time does restaurant open for breakfast
hours of operation,What time does restaurant open for breakfast
hours of operation,What time does restaurant open for breakfast
breakfast,What time does restaurant open for breakfast
gym,Do u havea fitness center
attractions,Do you have a list of local restaurants and things to do?
gym,Will the fitness room or spa be open?
spa,Will the fitness room or spa be open?
hours of operation,Will the fitness room or spa be open?
gym,Will the fitness room or spa be open?
spa,Will the fitness room or spa be open?
hours of operation,Will the fitness room or spa be open?
spa,What are the hours of the spa?
hours of operation,What are the hours of the spa?
pool,Will the pool be open?
hours of operation,Will the pool be open?
pool,What are the hours of the pool
hours of operation,What are the hours of the pool
parking,What is the parking cost?
room service,Do you have room service?
restaurant,What are the hours of your restaurant?
hours of operation,What are the hours of your restaurant?
bar,What are the hours of the bar?
hours of operation,What are the hours of the bar?
business center,Is there a business center?
business center,What are the hours of the business center?
hours of operation,What are the hours of the business center?
shuttle service,Does the hotel provide shuttle service?
breakfast,Do u have breakfast items that are gluten free
breakfast,Do you offer breakfast if attending the event
breakfast,Do you offer gluten free items for breakfast
early checkin,Early checkin?
early checkin,Early check in?
early checkin,Early check-in?
express checkin,Express checkin?
express checkin,Express check-in?
express checkin,Express check in?
reservations,Do I need to make a reservation for Cocktail lounge?
housekeeping,Is Valet cleaning service available at the hotel?
bar,Is there a mini bar in guestrooms?
wifi,What's the WiFi log in and password
wifi,What's the WiFi log in and password
wifi,What's the WiFi password pls
wifi,Wifi code please
wifi,Is there a password for the wifi
wifi,Is there a password for the wifi
breakfast,Do you still have breakfast
breakfast,Breakfast is at?
checkout time,checkout time
checkin time,checkin time
checkout time,Can I extend my checkout time
early checkin,can i do early checkin
late checkout,can i do late checkout
check-in,checkin?
check out,checkout?
express checkin,express checkin
check out,express checkout
amenities,What amenities does the hotel offer?
amenities,What kind of amenities do you have?
amenities,Amenities
wifi,What is the WiFi password
wifi,WIFI
wifi,how to login to WIFI
wifi,WIFI Passcode
wifi,IS there WIFI
wifi,Free WIFI
wifi,How to connect to your wifi
complimentary breakfast,Do u have Complimentary breakfast
breakfast,Breakfast timings
breakfast,What is for Breakfast
complimentary breakfast,Is Breakfast free
hours of operation,Breakfast open time
hours of operation,Breakfast open time
breakfast,Breakfast open time
hours of operation,Breakfast close time
hours of operation,Breakfast close time
breakfast,Breakfast close time
complimentary breakfast,Does this hotel have a complimentary breakfast
order food,Breakfast menu
location,where is breakfast location
location,where is breakfast location
breakfast,where is breakfast location
breakfast,what do u serve in breakfast
breakfast,Continental Breakfast
breakfast,Do I need to pay extra for breakfast
location,location for breakfast
breakfast,location for breakfast
breakfast,When do you serve Breakfast
business center,When does the business center open?
hours of operation,When does the business center open?
business center,When does the business center close
hours of operation,When does the business center close
meeting room,Do you have meeting or boardroom
printer,do u have printer
fax,fax machine
printer,Do you have printer
fax,fax services
fax,how much does fax cost?
fax,fax charges
pool,do u have pool
pool,pool
location,where is the pool
pool,where is the pool
location,where is pool located
pool,where is pool located
location,pool location
pool,pool location
pool,what is closing time of pool?
hours of operation,what is closing time of pool?
pool,swimming pool timings
pool,pool timings
pool,what is the open time for pool?
hours of operation,what is the open time for pool?
hours of operation,what is the open time for pool?
location,where is the pool
pool,where is the pool
pool,what is the pool temperature
pool,DO you have indoor pool
jaccuzi,Jacuzzi temperature
jaccuzi,do u have jacuzzi
parking,parking
free parking,free parking
valet parking,do you have valet parking
shuttle service,Do you have shuttle service
shuttle service,Do you have airport shuttle
shuttle service,do u have an airport pickup
spa,do u have a spa
spa,spa timings
location,where is Gym
gym,where is Gym
gym,Gym?
gym,Gym timings
near by,grocery stores nearby
bar,near by bars
near by,near by bars
shopping,Any nearby shopping mall
shopping,Any nearby shopping mall
near by,Any nearby shopping mall
near by,nearby nightclubs
near by,nearby places to eat
near by,nearby starbucks
coffee shop,nearby starbucks
coffee shop,is there starbucks
attractions,Attractions near the hotel
near by,Attractions near the hotel
attractions,nearby attractions
near by,nearby attractions
restaurant,Nearby restaurants
attractions,Things to do
location,where is the vending machine
location,where is vending machine
location,where is vending machine ?
location,vending machine location
location,where is vending machine located ?
location,where is ice machine
ice machine,where is ice machine
ice machine,do you have ice machine?
location,where is the ice machine
ice machine,where is the ice machine
location,where is ice machine
ice machine,where is ice machine
location,where is ice machine ?
ice machine,where is ice machine ?
ice machine,where can I find ice machine
ice machine,ice machine
ice machine,ice machine?
ice machine,ice machine if any?
location,ice machine location
ice machine,ice machine location
location,where is ice machine located ?
ice machine,where is ice machine located ?
gift shop,Do you have gift shop
order food,Can i order food for delivery
housekeeping,I want housekeeping service
order food,I would like to order food
luggage storage,Do you have complimentary Luggage Storage
luggage storage,where can I store luggage
nanny service,Do you have nanny service?
laundry,Do you have laundry service in the hotel
laundry,laundry
dry cleaning,is there dry cleaning service
laundry,How much is laundry charge
coffee,Do you have morning coffee served in the lobby?
tour packages,do you have tour packages
pet policy,What is your pet policy
pet policy,pet policy
smoking,Is Smoking Allowed?
smoking,Smoking
smoking,Can I smoke
smoking,Do you have Smoking rooms?
drinking water,i need bottle of water
extra towels,I need extra towel
extra pillow,extra pillow
extra towels,extra towel
safety deposit box,digital safe
hair dryer,hair dryer
toothpaste,i need toothpaste
toothbrush,i need toothbrush
housekeeping,Need room cleaning
wakeup call,Wake up call
tv remote,TV Remote?
order food,Can i order food for delivery
iron board,Do you have iron board
rollaway bed,Do you have rollaway bed
location,Where is the tennis court?
crib,crib available?
microwave,microwave
hair dryer,ii need hair dryer
charging station,EV charging station
refrigerator,Does the room have mini refrigerator
air conditioning,Does the room have air conditioning
microwave,Is there microwave in the room
room upgrade,can i upgrade my room
alarm clock,is there alarm clock in room
atm,Do you have ATM?
safety deposit box,digital safe
charger,Do you have iPhone Charger
charger,charger
program,Can i book private events at your hotel?
phone,Do you have phone charger
charger,Do you have phone charger
phone,Do you have phone charger?
charger,Do you have phone charger?
charger,charger
charger,charger?
wifi,How to connect to your wifi
wifi,What is the WiFi password
wifi,Wi-Fi
wifi,wifi passcode?
wifi,free wifi?
wifi,how do i connect to wifi?
wifi,wifi login
rollaway bed,Do you have rollaway bed
rollaway bed,rollaway bed?
rollaway bed,rollaway bed
rollaway bed,can i get rollaway bed
shuttle service,Do you have shuttle service
shuttle service,shuttle service
shuttle service,shuttle service?
shuttle service,Is there shuttle service?
location,Where is the vending machine?
breakfast,When do you serve breakfast
hours of operation,Breakfast timing?
breakfast,Breakfast timing?
complimentary breakfast,Complimentary breakfast
hours of operation,what time is breakfast?
breakfast,what time is breakfast?
complimentary breakfast,is there free breakfast?
restaurant,Nearby Restaurants
restaurant,Nearby Restaurants?
near by,Restaurants nearby
restaurant,Restaurant
attractions,Nearby Attractions
near by,Nearby Attractions
attractions,Attractions
attractions,attractions nearby
near by,attractions nearby
attractions,Attractions?
extra towels,"I need extra towel, soap"
body wash,"I need extra towel, soap"
body wash,soap?
checkout time,Can I extend my checkout time
shopping,Any nearby shopping mall
shopping,Any nearby shopping mall
near by,Any nearby shopping mall
shopping,shopping malls?
shopping,shopping mall
shopping,shopping mall
smoking,Is Smoking Allowed?
smoking,can i smoke?
smoking,smoking policy?
smoking,non smoking policy?
housekeeping,Need room cleaning
housekeeping,room cleaning?
hours of operation,what time is checkout?
check out,what time is checkout?
checkin time,checkin time?
check-in,checkin
check-in,check in
checkout time,checkout time
checkout time,checkout time?
check out,check out
hours of operation,what time is check out
check out,what time is check out
discount,breakfast discount?
breakfast,breakfast discount?
discount,do you offer breakfast discount?
breakfast,do you offer breakfast discount?
hours of operation,Breakfast hours
breakfast,Breakfast hours
breakfast time,Breakfast time?
cable,Cable
cable,Cable tv
cable,Cable tv please. Thanks
check-in,can another person check in for me
check-in,Can I check in early like 1:30 or 2pm
check out,Can I come during lunch to check out ? Or does it automatically check me out
safety deposit box,Can I get a refund Even though I didn't get the refund package? I don't feel safe
wakeup call,Can I get a wake up call?
conditioner,Can I get an ice bucket extra soaps shampoo conditioner
shampoo,Can I get an ice bucket extra soaps shampoo conditioner
late checkout,Can I have late check out
shuttle service,Can i use the shuttle today
housekeeping,Can we get house keeping to clean and bring us new towels
channel lineup,Channel lineup
coffee,Coffee available in the lobby
late checkout,Do you offer late check out?
drinking water,Drinking water?
order food,Food delivery
luggage storage,"For connecting flight over 12 hours, I hope we can still recheck luggage"
hours of operation,"For connecting flight over 12 hours, I hope we can still recheck luggage"
wifi,Freda Mattingly TheThe Internet is asking for a password could you tell me what it is we are in room 127 John
wifi,Freda Mattingly TheThe Internet is asking for a password could you tell me what it is we are in room 127 John
refrigerator,fridge microwave
microwave,fridge microwave
check out,"Got in late, what is the latest checkout you can do"
pool,Heated pool
hours of operation,"Hello, what are your hours today"
check out,How do I check out ?
housekeeping,Housekeeping service
toilet paper,I have a clogged sink in need toilet paper Kleenex plz
checkout time,I need a 12pm check out time please
hair dryer,I need a new hair dryer!
shampoo,I need shampoo
check out,I want to check out
parking,I work nights I will be getting back here around 4 or 5 am sometimes around 3 am.. will there be parking?
ice machine,Is an ice machine available
hours of operation,Is check in 24 hours
check-in,Is check in 24 hours
wifi,Is there a WiFi address password I can log into
wifi,Is there a WiFi address password I can log into
location,Is there a WiFi address password I can log into
drinking water,Is there anywhere to get bottled water close?
hours of operation,Is there anywhere to get bottled water close?
breakfast time,Know what time breakfast actually starts
hours of operation,Know what time breakfast actually starts
late checkout,May we have a late check out tomorrow
plunger,Need a plunger
restaurant,Need nearby restaurant suggestions for dinner
near by,Need nearby restaurant suggestions for dinner
toilet paper,Need toilet paper
pool,Open pool
hours of operation,Open pool
microwave,Please is there a microwave available for use near the front desk?
near by,Please is there a microwave available for use near the front desk?
room service,Room service
shuttle service,Shuttle pickup service
shuttle service,Shuttle pickup service
near by,"Shuttle service to nearby hotels, we are here for a conference don't like driving while on vacation."
shuttle service,"Shuttle service to nearby hotels, we are here for a conference don't like driving while on vacation."
shuttle service,Shuttle services to DFW airport
shuttle service,Shuttle to the game today
near by,Store near by.
hours of operation,Time of checkout?
check out,Time of checkout?
hours of operation,What time does the first shuttle pick up at the end of game?
shuttle service,What time does the first shuttle pick up at the end of game?
checkout time,When is check out time
location,Where is ice machine
ice machine,Where is ice machine
location,Where is my roll away
location,Where is the gym
gym,Where is the gym
location,Where is the ice machine?? the one up stairs dosent work in the middle
ice machine,Where is the ice machine?? the one up stairs dosent work in the middle
late checkout,Can i have a late checkout due to the issue with getting key to work in the room?
phone,There is no phone in my room
crib,is there charge for the crib
check-in,check-in
check out,Checkout at 11am right
microwave,microwave
coffee,in room coffee
smoking,can I smoke
discount,is there discount for booking multiple rooms
discount,can I get discount for staying for a long period
extend stay,extended stay discount
discount,extended stay discount
phone,can I checkout on phone
check out,can I checkout on phone
check out,how do I checkout
charger,laptop charger
near by,recommendation for food nearby
tour packages,do u offer any tours
wifi,how do I connect to the internet
breakfast,where do u serve breakfast
check out,early checkout
check-in,expres checkin
check out,when can I checkout?
breakfast,what do u serve in breakfast
breakfast,do I need to pay extra for breakfast
location,where is starbucks
coffee shop,where is starbucks
shopping,where is the shopping mall
shopping,where is the shopping mall
location,where is the shopping mall
drinking water,bottled water
drinking water,can I get bottled water
drinking water,can I get bottle of water
near by,is there ATM near the hotel
atm,is there ATM near the hotel
tv remote,TV Remote
tv remote,where is TV remote
location,where is TV remote
safety deposit box,in room safe
iron board,iron
coffee,May I have extra coffee
check out,How do I check out
room service,room service
toilet paper,Hello exchange some towels get more toilet paper please
extend stay,Extending stay
wifi,What amenities have WiFi password needed checkout time
amenities,What amenities have WiFi password needed checkout time
checkout time,What amenities have WiFi password needed checkout time
drinking water,Is there anywhere to get bottled water close?
hours of operation,Is there anywhere to get bottled water close?
wifi,Is there a password for Wifi
wifi,Is there a password for Wifi
wifi,what is the wifi
breakfast,Breakfast in the morning?
drinking water,Is there anywhere to get bottled water?
blankets,Can I get Blanket for my bed
coffee,Coffee
breakfast time,Breakfast time
amenities,Amenities please
check out,How do I checkout
wifi,What's Wifi password
amenities,What are your Amenities
extra towels,I can use an extra towel if possible
wifi,How access the wifi
pool,Is there a pool in ur motel ?
late checkout,Can I have a late check out?
pool,Pool hours
hours of operation,Pool hours
hours of operation,What time serve breakfast
breakfast,What time serve breakfast
attractions,Things to do
check out,When is checkout
wifi,Password
checkout time,When is my checkout time
gym,Gym timings
extend stay,Extending stay
breakfast,what are the times for breakfast
gym,good morning. Is there a gym here?
hours of operation,what are lobby hours?
breakfast,continental breakfast
breakfast time,what time breakfast start?
hours of operation,what time breakfast start?
complimentary breakfast,Does this hotel have a complimentary breakfast
coffee,Is there complimentary coffee in the lobby?
location,where is the ice machine located
ice machine,where is the ice machine located
pet policy,Service dog policy
checkout time,what time is checkout time
hours of operation,what time is checkout time
wifi,Password of wifi pls
wifi,Password of wifi pls
location,where is breakfast location
location,where is breakfast location
breakfast,where is breakfast location
order food,breakfast menu
discount,Multiple rooms booking discount
cancellation policy,What is the cancellation policy
cancellation policy,Is there cancelation charge
cancellation policy,Cancellation
discount,do you offer discount for group booking
lost and found,What is the lost and found policy
lost and found,i forgot my bag in the hotel. whom do i contact for lost and found
discount,is there additional discount for multi room booking
discount,i would liek to book 3 rooms. Can you offer me any discount
cancel reservation,i need to cancel my reservation
discount,Discount for staying long
discount,Can i get additional discount for staying for a longer duration
spa,Spa Discount
discount,Spa Discount
spa,Can i get additional discount for Spa
discount,Can i get additional discount for Spa
spa,Spa charges
bellman,Bellman
bellman,Bellman service
luggage storage,Can i get help with my luggage
dry cleaning,dry cleaning?
dry cleaning,what is the cost of dry cleaning
