ID,VENUE_NUMBER,SERVICE_ID,TYPE,PHRASE,WEIGHT,FOR_DAY,FULL_TEXT
25442059,171694,61137,CRG,"luggage storage",0,"2022-07-05 15:26:14","I want to store my luggage after checkout."
25442058,171769,61135,CRG,"safety deposit box",0,"2022-07-05 15:25:18","Do you have SAfe lock"
25442057,171769,61134,CRG,"safety deposit box",0,"2022-07-05 15:25:06","Do you have SAfe lock"
25442056,171769,61133,CRG,"safety deposit box",0,"2022-07-05 15:25:00","DO you have safe"
25442055,171769,61132,CRG,"safety deposit box",0,"2022-07-05 15:24:47","Do you have SAfe lock"
25442054,171694,61131,CRG,"safety deposit box",0,"2022-07-05 15:24:18","Do you have safe lock"
25442053,171694,61130,CRG,"safety deposit box",0,"2022-07-05 15:24:02","Do you have safe"
25442052,171694,61129,CRG,"safety deposit box",0,"2022-07-05 15:23:09","Do you have safe lock"
25442051,171694,61128,CRG,"safety deposit box",0,"2022-07-05 15:23:01","do you have safe"
25442050,171769,61127,CRG,"safety deposit box",0,"2022-07-05 15:19:50","Do you have SAfe lock"
25442049,171769,61126,CRG,"safety deposit box",0,"2022-07-05 15:18:50","DO you have safe"
25442048,171769,61125,CRG,"safety deposit box",0,"2022-07-05 15:18:16","DO you have safe"
25442047,171769,61121,CRG,"safety deposit box",0,"2022-07-05 15:16:04","Do you have SAfe lock"
25442046,171769,61120,CRG,"safety deposit box",0,"2022-07-05 15:15:45","Safe lock"
25442045,171769,61119,CRG,"safety deposit box",0,"2022-07-05 15:15:45","Safe lock"
25442044,171694,61116,CRG,charger,0,"2022-07-05 15:11:01","I need an laptop charger"
25442043,171694,61115,CRG,charger,0,"2022-07-05 15:10:32","I need an iphone charger"
25442042,171769,61112,CRG,"safety deposit box",0,"2022-07-05 15:09:58","Do you have safe?"
25442041,171694,61111,CRG,"safety deposit box",0,"2022-07-05 15:08:57","Do you have safe"
25442040,171769,61110,CRG,"pet policy",0,"2022-07-05 15:07:26","I want to bring pet in my room"
25442039,171694,61109,CRG,"safety deposit box",0,"2022-07-05 15:07:23","Do you have safe"
25442038,171694,61108,CRG,"safety deposit box",0,"2022-07-05 15:07:07","is safe available"
25442037,171769,61107,CRG,smoking,0,"2022-07-05 15:06:54","Do you have non smoking rooms?"
25442036,171769,61106,CRG,smoking,0,"2022-07-05 15:06:50","Is there smoking available?"
25442035,171769,61105,CRG,"check out",0,"2022-07-05 15:06:15","Express check out"
25442034,171769,61104,CRG,"express checkin",0,"2022-07-05 15:05:54","Do you have Express Checkin?"
25442033,171769,61103,CRG,"early checkin",0,"2022-07-05 15:05:49","Early check-in policy"
25442032,171694,61102,CRG,"room service",0,"2022-07-05 15:03:55","is room service available"
25442031,171694,61099,CRG,"lost and found",0,"2022-07-05 14:54:37","Lost and found policy"
25442030,171694,61097,CRG,phone,0,"2022-07-05 14:53:29","I lost my phone in the room"
25442029,171694,61092,CRG,"early checkin",0,"2022-07-05 14:51:33","I want to do an early checkin"
25442028,171694,61091,CRG,Check-in,0,"2022-07-05 14:50:52","i want to check in early"
25442027,171694,61090,CRG,"not working",0,"2022-07-05 14:50:24","wifi is not working in my room"
25442026,171694,61090,CRG,wifi,0,"2022-07-05 14:50:24","wifi is not working in my room"
25442025,171694,61088,CRG,housekeeping,0,"2022-07-05 14:49:25","cancel housekeeping"
25442024,171694,61087,CRG,"shuttle service",0,"2022-07-05 14:48:58","I need an pickup room service"
25442023,171694,61087,CRG,"room service",0,"2022-07-05 14:48:58","I need an pickup room service"
25442022,171694,61086,CRG,"late checkout",0,"2022-07-05 14:48:35","I want to extend check out"
25442021,171694,61085,CRG,"not clean",0,"2022-07-05 14:47:11","my housekeeping person did not clean my room properly"
25442020,171694,61085,CRG,housekeeping,0,"2022-07-05 14:47:11","my housekeeping person did not clean my room properly"
25442019,171694,61083,CRG,coffee,0,"2022-07-05 14:44:10","Coffee maker is not available in my room"
25442018,171694,61080,CRG,program,0,"2022-07-05 14:43:20","what are the special events that you conduct"
25442017,171694,61072,CRG,"extend stay",0,"2022-07-05 14:39:55","I want to extend my stay"
25442016,171694,61069,CRG,"safety deposit box",0,"2022-07-05 14:39:24","Do You have safe locker"
25442015,171694,61068,CRG,"safety deposit box",0,"2022-07-05 14:38:15","Do you have safe"
25442014,171694,61067,CRG,"safety deposit box",0,"2022-07-05 14:38:05","Do you have safe"
25442013,171694,61066,CRG,"safety deposit box",0,"2022-07-05 14:37:50","Do u have safe in your hotel"
25442012,171629,61059,CRG,"late checkout",0,"2022-07-05 12:39:41","Late checkout"
25442011,171629,61058,CRG,wifi,0,"2022-07-05 12:39:24",WiFi
25442010,171769,61057,CRG,"hours of operation",0,"2022-07-05 12:01:31","Can you open the minibar for me?"
25442009,171769,61056,CRG,"room service",0,"2022-07-05 12:01:25","Pick up room service"
25442008,171769,61054,CRG,"not clean",0,"2022-07-05 12:00:45","room is dirty"
25442007,171769,61052,CRG,"order food",0,"2022-07-05 12:00:10","Problems with food order"
25442006,171769,61051,CRG,wifi,0,"2022-07-05 12:00:05","I can't connect to the internet"
25442005,171769,61050,CRG,wifi,0,"2022-07-05 11:59:55","Message for WIFI related problems"
25442004,171769,61048,CRG,"drinking water",0,"2022-07-05 11:59:51","Can you send me bottled water?"
25442003,171769,61045,CRG,"drinking water",0,"2022-07-05 11:59:33","Bottled water for guests"
25442002,171769,61044,CRG,microwave,0,"2022-07-05 11:59:29","Do I need a microwave?"
25442001,171769,61042,CRG,discount,0,"2022-07-05 11:59:17","Do you have discount for extended stays?"
25442000,171769,61042,CRG,"extend stay",0,"2022-07-05 11:59:17","Do you have discount for extended stays?"
25441999,171769,61037,CRG,reservations,0,"2022-07-05 11:59:09","I would like to quote a reservation for a group."
25441998,171769,61035,CRG,"shuttle service",0,"2022-07-05 11:59:01","Do you have shuttle Services?"
25441997,171769,61032,CRG,"nanny service",0,"2022-07-05 11:58:50","Do you have a babysitting service?"
25441996,171769,61031,CRG,"nanny service",0,"2022-07-05 11:58:45","Would I like to hire a babysitting service?"
25441995,171769,61029,CRG,"meeting room",0,"2022-07-05 11:58:14","Can I book a meeting room?"
25441994,171769,61028,CRG,"room upgrade",0,"2022-07-05 11:58:07","Can I upgrade to a disabled room?"
25441993,171769,61027,CRG,"room upgrade",0,"2022-07-05 11:58:02","Can I upgrade to a connected room?"
25441992,171769,61026,CRG,"room upgrade",0,"2022-07-05 11:57:57","I would like to upgrade to a higher category room"
25441991,171769,61025,CRG,microwave,0,"2022-07-05 11:57:19","Do you have Microwave"
25441990,171769,61023,CRG,"hours of operation",0,"2022-07-05 11:57:06","What are the open and close time for the business center?"
25441989,171769,61023,CRG,"hours of operation",0,"2022-07-05 11:57:06","What are the open and close time for the business center?"
25441988,171769,61023,CRG,"hours of operation",0,"2022-07-05 11:57:06","What are the open and close time for the business center?"
25441987,171769,61023,CRG,"business center",0,"2022-07-05 11:57:06","What are the open and close time for the business center?"
25441986,171769,61022,CRG,"business center",0,"2022-07-05 11:57:03","Do you have a business center?"
25441985,171769,61020,CRG,"table & Chair",0,"2022-07-05 11:56:54","Do you have a chair in the room?"
25441984,171769,61018,CRG,wifi,0,"2022-07-05 11:56:41","What is the WIFI password"
25441983,171769,61017,CRG,location,0,"2022-07-05 11:56:35","What is the location of the hotel"
25441982,171769,61016,CRG,wifi,0,"2022-07-05 11:56:26","What is the WIFI password"
25441981,171769,61015,CRG,rent,0,"2022-07-05 11:56:22","I would like to rent a car for tomorrow"
25441980,171769,61014,CRG,program,0,"2022-07-05 11:56:17","How do I join the rewards program"
25441979,171769,61012,CRG,"tour packages",0,"2022-07-05 11:56:08","How do I get information about tours"
25441978,171769,61011,CRG,"check out",0,"2022-07-05 11:56:02","What is the Your Checkout Procedure?"
25441977,171769,61010,CRG,"check out",0,"2022-07-05 11:56:00","What is your Checkout Policy?"
25441976,171769,61009,CRG,"late checkout",0,"2022-07-05 11:55:56","What are the charges for late checkout?"
25441975,171769,61008,CRG,"late checkout",0,"2022-07-05 11:55:53","Can I do late checkout?"
25441974,171769,61007,CRG,"early checkin",0,"2022-07-05 11:55:49","What are the charges for early checkin?"
25441973,171769,61006,CRG,Check-in,0,"2022-07-05 11:55:44","I am coming today.How do I check in"
25441972,171769,61005,CRG,"room upgrade",0,"2022-07-05 11:55:40","I would like to upgrade my room"
25441971,171769,61004,CRG,wifi,0,"2022-07-05 11:55:24","Do you have problem connecting to wifi?"
25441970,171769,61003,CRG,wifi,0,"2022-07-05 11:55:18","Wifi Information"
25441969,171769,61002,CRG,"not working",0,"2022-07-05 11:55:14","The internet in my room is not working"
25441968,171769,61002,CRG,wifi,0,"2022-07-05 11:55:14","The internet in my room is not working"
25441967,171769,61001,CRG,"order food",0,"2022-07-05 11:55:02","My food order has items missing."
25441966,171769,60999,CRG,program,0,"2022-07-05 11:54:57","Is there a list of events or shows available"
25441965,171769,60998,CRG,"not clean",0,"2022-07-05 11:54:42","The housekeeping did not clean my room properly"
25441964,171769,60998,CRG,housekeeping,0,"2022-07-05 11:54:42","The housekeeping did not clean my room properly"
25441963,171769,60993,CRG,"shuttle service",0,"2022-07-05 11:53:49","Can someone pickup the plates outside the room"
25441962,171769,60990,CRG,"Organize Event",0,"2022-07-05 11:53:39","Can u help me arrange a surprise birthday"
25441961,171769,60988,CRG,spa,0,"2022-07-05 11:53:30","I would like to book Spa for tomorrow"
25441960,171769,60985,CRG,"room service",0,"2022-07-05 11:52:54","I want to order room service"
25441959,171769,60984,CRG,"check out",0,"2022-07-05 11:52:28","I want to do express checkout"
25441958,171769,60982,CRG,"room cleaning",0,"2022-07-05 11:51:57","I want room cleaning service"
25441957,171769,60981,CRG,Check-in,0,"2022-07-05 11:51:52","I want to check my invoice"
25441956,171746,60978,CRG,"shuttle service",0,"2022-07-05 11:47:42","How can I get around the place by car or other transpotation"
25441955,171746,60977,CRG,"accessible parking",0,"2022-07-05 11:47:34","Do you provide accessible parking?"
25441954,171746,60974,CRG,"lost and found",0,"2022-07-05 11:47:21","Is there is any lost and found responsibility is available"
25441953,171746,60969,CRG,reservations,0,"2022-07-05 11:46:45","i want to reserve one cabin"
25441952,171746,60968,CRG,reservations,0,"2022-07-05 11:46:40","I want to reserve the romantic dinner"
25441951,171746,60967,CRG,gym,0,"2022-07-05 11:46:35","Do you have fitness center?"
25441950,171746,60966,CRG,reservations,0,"2022-07-05 11:46:31","when did I reserve the table service"
25441949,171746,60966,CRG,"reserve a table",0,"2022-07-05 11:46:31","when did I reserve the table service"
25441948,171746,60965,CRG,"hours of operation",0,"2022-07-05 11:46:26","What are the open and close time for the SPA?"
25441947,171746,60965,CRG,"hours of operation",0,"2022-07-05 11:46:26","What are the open and close time for the SPA?"
25441946,171746,60965,CRG,"hours of operation",0,"2022-07-05 11:46:26","What are the open and close time for the SPA?"
25441945,171746,60965,CRG,spa,0,"2022-07-05 11:46:26","What are the open and close time for the SPA?"
25441944,171746,60964,CRG,"bottle service",0,"2022-07-05 11:46:22","i need the bottle service"
25441943,171746,60963,CRG,program,0,"2022-07-05 11:41:31","Do you provide a details about private events"
25441942,171746,60962,CRG,program,0,"2022-07-05 11:40:02","Do you provide a details about private events"
25441941,171746,60961,CRG,reservations,0,"2022-07-05 11:39:56","i need to reserve the another room"
25441940,171746,60960,CRG,reservations,0,"2022-07-05 11:39:51","i need to reserve the another room"
25441939,171746,60958,CRG,"wakeup call",0,"2022-07-05 11:36:54","Can I get a wakeup call?"
25441938,171746,60954,CRG,charger,0,"2022-07-05 11:36:17","Do you have computer chargers?"
25441937,171746,60953,CRG,charger,0,"2022-07-05 11:36:11","what kind chargers do you have"
25441936,171746,60952,CRG,wifi,0,"2022-07-05 11:36:04","Wifi is not connecting to Tv"
25441935,171746,60949,CRG,reservations,0,"2022-07-05 11:35:08","how can i reserve nearby restraurant"
25441934,171746,60949,CRG,"near by",0,"2022-07-05 11:35:08","how can i reserve nearby restraurant"
25441933,171746,60945,CRG,"hours of operation",0,"2022-07-05 11:33:58","What are the open and close time for the SPA?"
25441932,171746,60945,CRG,"hours of operation",0,"2022-07-05 11:33:58","What are the open and close time for the SPA?"
25441931,171746,60945,CRG,"hours of operation",0,"2022-07-05 11:33:58","What are the open and close time for the SPA?"
25441930,171746,60945,CRG,spa,0,"2022-07-05 11:33:58","What are the open and close time for the SPA?"
25441929,171746,60944,CRG,"near by",0,"2022-07-05 11:33:54","Is there a beauty salon nearby?"
25441928,171746,60943,CRG,"near by",0,"2022-07-05 11:33:47","Do you have a grocery store near by?"
25441927,171746,60942,CRG,ATM,0,"2022-07-05 11:33:37","where is atm is located"
25441926,171746,60942,CRG,location,0,"2022-07-05 11:33:37","where is atm is located"
25441925,171746,60941,CRG,spa,0,"2022-07-05 11:33:06","Do you have a SPA?"
25441924,171746,60940,CRG,"hours of operation",0,"2022-07-05 11:33:04","What are the open and close time for the pool?"
25441923,171746,60940,CRG,"hours of operation",0,"2022-07-05 11:33:04","What are the open and close time for the pool?"
25441922,171746,60940,CRG,"hours of operation",0,"2022-07-05 11:33:04","What are the open and close time for the pool?"
25441921,171746,60940,CRG,pool,0,"2022-07-05 11:33:04","What are the open and close time for the pool?"
25441920,171746,60939,CRG,pool,0,"2022-07-05 11:33:01","Do you have pool?"
25441919,171746,60938,CRG,"room size",0,"2022-07-05 11:32:55","what is room size?"
25441918,171746,60933,CRG,laundry,0,"2022-07-05 11:31:21","Do you have self service laundry?"
25441917,171746,60932,CRG,"dry cleaning",0,"2022-07-05 11:31:16","Do you have Dry Cleaning service?"
25441916,171746,60929,CRG,"accessible parking",0,"2022-07-05 11:30:59","Do you provide accessible parking?"
25441915,171746,60927,CRG,phone,0,"2022-07-05 11:30:36","I wants hotel's direct phone number"
25441914,171746,60924,CRG,reservations,0,"2022-07-05 11:29:28","what kind of Reservation Service is available?"
25441913,171746,60917,CRG,reservations,0,"2022-07-05 11:28:50","I need to reserve the food service"
25441912,171746,60916,CRG,reservations,0,"2022-07-05 11:27:30","Reservation Service"
25441911,171746,60913,CRG,coffee,0,"2022-07-05 11:26:35","Morning Coffee is available in your hotel?"
25441910,171746,60912,CRG,coffee,0,"2022-07-05 11:26:25","Do you provide morning coffee?"
25441909,171746,60911,CRG,coffee,0,"2022-07-05 11:26:21","Do you have coffee maker?"
25441908,171746,60910,CRG,"tea maker",0,"2022-07-05 11:26:18","Do you have tea maker?"
25441907,171746,60909,CRG,coffee,0,"2022-07-05 11:26:04","Morning Coffee is available in your hotel?"
25441906,171746,60907,CRG,restaurant,0,"2022-07-05 11:25:46","Is there is available of Restaurant Tip"
25441905,171746,60906,CRG,"drinking water",0,"2022-07-05 11:25:39","I need the bottled water"
25441904,171746,60903,CRG,"extra towels",0,"2022-07-05 11:24:23","Do you provide me towel at room no 56"
25441903,171746,60901,CRG,"check out",0,"2022-07-05 11:24:05","Do you have Express Checkout?"
25441902,171746,60900,CRG,"late checkout",0,"2022-07-05 11:24:00","What are the charges for late checkout?"
25441901,171746,60899,CRG,"checkout time",0,"2022-07-05 11:23:55","I want to extend my checkout time"
25441900,171746,60898,CRG,"shuttle service",0,"2022-07-05 11:23:49","Do you have shuttle Services?"
25441899,171746,60896,CRG,"shuttle service",0,"2022-07-05 11:23:41","Do you have shuttle Services?"
25441898,171746,60895,CRG,"luggage storage",0,"2022-07-05 11:23:39","Do you have luggage storage facility?"
25441897,171746,60894,CRG,bellman,0,"2022-07-05 11:23:35","I need the bellman service"
25441896,171746,60891,CRG,wifi,0,"2022-07-05 11:22:25","What is wifi name and password?"
25441895,171746,60891,CRG,wifi,0,"2022-07-05 11:22:25","What is wifi name and password?"
25441894,171746,60890,CRG,wifi,0,"2022-07-05 11:22:19","Do you have problem connecting to wifi?"
25441893,171746,60889,CRG,wifi,0,"2022-07-05 11:22:16","Wifi Information"
25441892,171746,60888,CRG,wifi,0,"2022-07-05 11:22:09","Tv is not connecting to wifi"
25441891,171746,60887,CRG,toothbrush,0,"2022-07-05 11:21:54","I need the toothbrush"
25441890,171746,60886,CRG,"rollaway bed",0,"2022-07-05 11:21:31","Do you have rollaway bed?"
25441889,171746,60885,CRG,crib,0,"2022-07-05 11:21:27","Do you have a crib?"
25441888,171746,60884,CRG,"rollaway bed",0,"2022-07-05 11:21:23","Do you provide me a Rollaway Bed"
25441887,171746,60883,CRG,"rollaway bed",0,"2022-07-05 11:21:19","Do you provide me a Rollaway Bed"
25441886,171746,60882,CRG,"wakeup call",0,"2022-07-05 11:20:25","I want a wakeup call"
25441885,171746,60878,CRG,program,0,"2022-07-05 11:19:09","How can i book for a special events"
25441884,171746,60877,CRG,"bottle service",0,"2022-07-05 11:18:19","Do you provide me a water bottle"
25441883,171746,60874,CRG,"extra pillow",0,"2022-07-05 11:17:08","DO you provide me a extra pillow"
25441882,171746,60871,CRG,"not working",0,"2022-07-05 11:16:03","Refrigerator is not working"
25441881,171746,60871,CRG,refrigerator,0,"2022-07-05 11:16:03","Refrigerator is not working"
25441880,171746,60870,CRG,microwave,0,"2022-07-05 11:14:59","Do you have Microwave"
25441879,171768,60868,CRG,"hours of operation",0,"2022-07-05 11:08:55","What are the open and close time for the business center?"
25441878,171768,60868,CRG,"hours of operation",0,"2022-07-05 11:08:55","What are the open and close time for the business center?"
25441877,171768,60868,CRG,"hours of operation",0,"2022-07-05 11:08:55","What are the open and close time for the business center?"
25441876,171768,60868,CRG,"business center",0,"2022-07-05 11:08:55","What are the open and close time for the business center?"
25441875,171768,60867,CRG,"meeting room",0,"2022-07-05 11:08:50","meeting room"
25441874,171768,60865,CRG,"hours of operation",0,"2022-07-05 11:08:29","What are the open and close time for Gym?"
25441873,171768,60865,CRG,"hours of operation",0,"2022-07-05 11:08:29","What are the open and close time for Gym?"
25441872,171768,60865,CRG,"hours of operation",0,"2022-07-05 11:08:29","What are the open and close time for Gym?"
25441871,171768,60865,CRG,gym,0,"2022-07-05 11:08:29","What are the open and close time for Gym?"
25441870,171768,60864,CRG,gym,0,"2022-07-05 11:08:25",gym
